item,itemLabel,datagouvid,filiale,filialeLabel,filialeid
http://www.wikidata.org/entity/Q1416512,ministère de l'Économie et des Finances,534fff8ea3a7292c64a77f02,http://www.wikidata.org/entity/Q156616,Institut national de la statistique et des études économiques,534fff81a3a7292c64a77e5c
http://www.wikidata.org/entity/Q1416512,ministère de l'Économie et des Finances,534fff8ea3a7292c64a77f02,http://www.wikidata.org/entity/Q3029557,"Direction générale de la concurrence, de la consommation et de la répression des fraudes",57835da788ee3878b367b0c8
http://www.wikidata.org/entity/Q1416512,ministère de l'Économie et des Finances,534fff8ea3a7292c64a77f02,http://www.wikidata.org/entity/Q22249035,Direction générale des entreprises,5b59876f88ee3872b8882a02
http://www.wikidata.org/entity/Q1416512,ministère de l'Économie et des Finances,534fff8ea3a7292c64a77f02,http://www.wikidata.org/entity/Q2826643,Agence française de développement,5492ee28c751df24df04805b
http://www.wikidata.org/entity/Q2602778,ministère de la Transition écologique et solidaire,534fff8da3a7292c64a77eee,http://www.wikidata.org/entity/Q295662,Agence nationale pour la gestion des déchets radioactifs,56bca517c751df265b9f9deb
http://www.wikidata.org/entity/Q2602778,ministère de la Transition écologique et solidaire,534fff8da3a7292c64a77eee,http://www.wikidata.org/entity/Q3152390,Institut national de l'environnement industriel et des risques,56e02813c751df1c1a1ffccd
http://www.wikidata.org/entity/Q2602778,ministère de la Transition écologique et solidaire,534fff8da3a7292c64a77eee,http://www.wikidata.org/entity/Q3349647,Office national de l'eau et des milieux aquatiques,534fff9ba3a7292c64a78036
http://www.wikidata.org/entity/Q2602778,ministère de la Transition écologique et solidaire,534fff8da3a7292c64a77eee,http://www.wikidata.org/entity/Q3349647,Office national de l'eau et des milieux aquatiques,office-national-de-l-eau-et-des-milieux-aquatiques-onema
http://www.wikidata.org/entity/Q2602778,ministère de la Transition écologique et solidaire,534fff8da3a7292c64a77eee,http://www.wikidata.org/entity/Q16536956,"centre d'études et d'expertise sur les risques, l'environnement, la mobilité et l'aménagement",5c812a16634f416583ed1876
http://www.wikidata.org/entity/Q3029579,Direction interministérielle du numérique et du système d'information et de communication de l'État,57fe2a35c751df21e179df72,http://www.wikidata.org/entity/Q16635111,Etalab,534fff75a3a7292c64a77de4
http://www.wikidata.org/entity/Q30728051,ministère de la Cohésion des territoires,534fff8fa3a7292c64a77f3d,http://www.wikidata.org/entity/Q2374836,Agence nationale pour la rénovation urbaine,534fff51a3a7292c64a77cca
http://www.wikidata.org/entity/Q30728051,ministère de la Cohésion des territoires,534fff8fa3a7292c64a77f3d,http://www.wikidata.org/entity/Q2374836,Agence nationale pour la rénovation urbaine,agence-nationale-pour-la-renovation-urbaine
http://www.wikidata.org/entity/Q30728051,ministère de la Cohésion des territoires,534fff8fa3a7292c64a77f3d,http://www.wikidata.org/entity/Q17625061,Commissariat général à l'égalité des territoires,5901f4dfc751df412e7bb92d
http://www.wikidata.org/entity/Q30728051,ministère de la Cohésion des territoires,534fff8fa3a7292c64a77f3d,http://www.wikidata.org/entity/Q21007902,Agence du numérique,55ad1ccb88ee3868d5d98334
http://www.wikidata.org/entity/Q3315187,ministère de l'Agriculture,534fff8ca3a7292c64a77edf,http://www.wikidata.org/entity/Q392520,"Agence nationale de sécurité sanitaire de l'alimentation, de l'environnement et du travail",534fff50a3a7292c64a77cc0
http://www.wikidata.org/entity/Q3315187,ministère de l'Agriculture,534fff8ca3a7292c64a77edf,http://www.wikidata.org/entity/Q2418402,Institut national de l'origine et de la qualité,534fff80a3a7292c64a77e54
http://www.wikidata.org/entity/Q3315187,ministère de l'Agriculture,534fff8ca3a7292c64a77edf,http://www.wikidata.org/entity/Q2826621,Agence de services et de paiement,534fff4ea3a7292c64a77cae
http://www.wikidata.org/entity/Q3315187,ministère de l'Agriculture,534fff8ca3a7292c64a77edf,http://www.wikidata.org/entity/Q3080555,FranceAgriMer,534fff78a3a7292c64a77e02
http://www.wikidata.org/entity/Q3315187,ministère de l'Agriculture,534fff8ca3a7292c64a77edf,http://www.wikidata.org/entity/Q3152303,Institut français du cheval et de l'équitation,534fff7fa3a7292c64a77e3f
http://www.wikidata.org/entity/Q3315187,ministère de l'Agriculture,534fff8ca3a7292c64a77edf,http://www.wikidata.org/entity/Q3260938,Office national des forêts,534fff9ca3a7292c64a7803e
http://www.wikidata.org/entity/Q3315187,ministère de l'Agriculture,534fff8ca3a7292c64a77edf,http://www.wikidata.org/entity/Q30257012,Centre National de la Propriété Forestière,56544b5f88ee382b99e72048
http://www.wikidata.org/entity/Q3509241,système d'information sur l'eau,534fffb2a3a7292c64a78123,http://www.wikidata.org/entity/Q65966059,Système d'information sur l'eau Adour-Garonne,5420b971a3a7297b491991df
http://www.wikidata.org/entity/Q384602,ministère de la Culture,534fff91a3a7292c64a77f73,http://www.wikidata.org/entity/Q377191,Institut national de recherches archéologiques préventives,534fff82a3a7292c64a77e82
http://www.wikidata.org/entity/Q54293525,services du Premier ministre,534fffa5a3a7292c64a7809e,http://www.wikidata.org/entity/Q56827447,Direction départementale des territoires de Dordogne,58aec3c288ee385bdf5d8a01
http://www.wikidata.org/entity/Q54293525,services du Premier ministre,534fffa5a3a7292c64a7809e,http://www.wikidata.org/entity/Q3029579,Direction interministérielle du numérique et du système d'information et de communication de l'État,57fe2a35c751df21e179df72
http://www.wikidata.org/entity/Q54293525,services du Premier ministre,534fffa5a3a7292c64a7809e,http://www.wikidata.org/entity/Q3480105,Service d'information du gouvernement,54126af3a3a7292a9bbf14d6
http://www.wikidata.org/entity/Q64152624,Syndicat mixte Atoumod,5cc844dd634f41078d8e2c8e,http://www.wikidata.org/entity/Q18677875,Normandie,region-normandie
